anio,edad,sexo,cantidad_personas,condicion_asist_escolar
1980,3.0,m,.,Asiste
1980,3.0,m,.,Nunca asistió
1980,3.0,m,.,No asiste pero asistió
1980,3.0,m,-,Ignorado
1980,3.0,v,.,Asiste
1980,3.0,v,.,Nunca asistió
1980,3.0,v,.,No asiste pero asistió
1980,3.0,v,-,Ignorado
1980,4.0,m,.,Asiste
1980,4.0,m,.,Nunca asistió
1980,4.0,m,.,No asiste pero asistió
1980,4.0,m,-,Ignorado
1980,4.0,v,.,Asiste
1980,4.0,v,.,Nunca asistió
1980,4.0,v,.,No asiste pero asistió
1980,4.0,v,-,Ignorado
1980,5.0,m,16482,Asiste
1980,5.0,m,1561,Nunca asistió
1980,5.0,m,423,No asiste pero asistió
1980,5.0,m,-,Ignorado
1980,5.0,v,16856,Asiste
1980,5.0,v,1757,Nunca asistió
1980,5.0,v,408,No asiste pero asistió
1980,5.0,v,-,Ignorado
1980,6.0,m,17352,Asiste
1980,6.0,m,322,Nunca asistió
1980,6.0,m,464,No asiste pero asistió
1980,6.0,m,-,Ignorado
1980,6.0,v,17829,Asiste
1980,6.0,v,360,Nunca asistió
1980,6.0,v,455,No asiste pero asistió
1980,6.0,v,-,Ignorado
1980,7.0,m,17257,Asiste
1980,7.0,m,70,Nunca asistió
1980,7.0,m,511,No asiste pero asistió
1980,7.0,m,-,Ignorado
1980,7.0,v,17464,Asiste
1980,7.0,v,106,Nunca asistió
1980,7.0,v,528,No asiste pero asistió
1980,7.0,v,-,Ignorado
1980,8.0,m,16880,Asiste
1980,8.0,m,51,Nunca asistió
1980,8.0,m,529,No asiste pero asistió
1980,8.0,m,-,Ignorado
1980,8.0,v,17207,Asiste
1980,8.0,v,63,Nunca asistió
1980,8.0,v,541,No asiste pero asistió
1980,8.0,v,-,Ignorado
1980,9.0,m,16517,Asiste
1980,9.0,m,55,Nunca asistió
1980,9.0,m,496,No asiste pero asistió
1980,9.0,m,-,Ignorado
1980,9.0,v,16967,Asiste
1980,9.0,v,54,Nunca asistió
1980,9.0,v,523,No asiste pero asistió
1980,9.0,v,-,Ignorado
1980,10.0,m,16486,Asiste
1980,10.0,m,33,Nunca asistió
1980,10.0,m,541,No asiste pero asistió
1980,10.0,m,-,Ignorado
1980,10.0,v,16588,Asiste
1980,10.0,v,52,Nunca asistió
1980,10.0,v,546,No asiste pero asistió
1980,10.0,v,-,Ignorado
1980,11.0,m,16088,Asiste
1980,11.0,m,59,Nunca asistió
1980,11.0,m,600,No asiste pero asistió
1980,11.0,m,-,Ignorado
1980,11.0,v,15980,Asiste
1980,11.0,v,41,Nunca asistió
1980,11.0,v,539,No asiste pero asistió
1980,11.0,v,-,Ignorado
1980,12.0,m,15301,Asiste
1980,12.0,m,31,Nunca asistió
1980,12.0,m,717,No asiste pero asistió
1980,12.0,m,-,Ignorado
1980,12.0,v,15679,Asiste
1980,12.0,v,27,Nunca asistió
1980,12.0,v,690,No asiste pero asistió
1980,12.0,v,-,Ignorado
1980,13.0,m,14676,Asiste
1980,13.0,m,37,Nunca asistió
1980,13.0,m,1285,No asiste pero asistió
1980,13.0,m,-,Ignorado
1980,13.0,v,14606,Asiste
1980,13.0,v,35,Nunca asistió
1980,13.0,v,1109,No asiste pero asistió
1980,13.0,v,-,Ignorado
1980,14.0,m,14249,Asiste
1980,14.0,m,61,Nunca asistió
1980,14.0,m,2153,No asiste pero asistió
1980,14.0,m,-,Ignorado
1980,14.0,v,13912,Asiste
1980,14.0,v,46,Nunca asistió
1980,14.0,v,1821,No asiste pero asistió
1980,14.0,v,-,Ignorado
1980,15.0,m,14153,Asiste
1980,15.0,m,73,Nunca asistió
1980,15.0,m,3590,No asiste pero asistió
1980,15.0,m,-,Ignorado
1980,15.0,v,13120,Asiste
1980,15.0,v,65,Nunca asistió
1980,15.0,v,3077,No asiste pero asistió
1980,15.0,v,-,Ignorado
1980,16.0,m,13355,Asiste
1980,16.0,m,84,Nunca asistió
1980,16.0,m,4976,No asiste pero asistió
1980,16.0,m,-,Ignorado
1980,16.0,v,12397,Asiste
1980,16.0,v,63,Nunca asistió
1980,16.0,v,4412,No asiste pero asistió
1980,16.0,v,-,Ignorado
1980,17.0,m,12741,Asiste
1980,17.0,m,103,Nunca asistió
1980,17.0,m,6800,No asiste pero asistió
1980,17.0,m,-,Ignorado
1980,17.0,v,12169,Asiste
1980,17.0,v,85,Nunca asistió
1980,17.0,v,6045,No asiste pero asistió
1980,17.0,v,-,Ignorado
1980,18.0,m,9189,Asiste
1980,18.0,m,101,Nunca asistió
1980,18.0,m,11487,No asiste pero asistió
1980,18.0,m,-,Ignorado
1980,18.0,v,9928,Asiste
1980,18.0,v,95,Nunca asistió
1980,18.0,v,9391,No asiste pero asistió
1980,18.0,v,-,Ignorado
1980,19.0,m,8137,Asiste
1980,19.0,m,112,Nunca asistió
1980,19.0,m,12916,No asiste pero asistió
1980,19.0,m,-,Ignorado
1980,19.0,v,7707,Asiste
1980,19.0,v,88,Nunca asistió
1980,19.0,v,11164,No asiste pero asistió
1980,19.0,v,-,Ignorado
1980,20.0,m,7502,Asiste
1980,20.0,m,161,Nunca asistió
1980,20.0,m,14736,No asiste pero asistió
1980,20.0,m,-,Ignorado
1980,20.0,v,7406,Asiste
1980,20.0,v,123,Nunca asistió
1980,20.0,v,13069,No asiste pero asistió
1980,20.0,v,-,Ignorado
1980,21.0,m,6565,Asiste
1980,21.0,m,107,Nunca asistió
1980,21.0,m,15914,No asiste pero asistió
1980,21.0,m,-,Ignorado
1980,21.0,v,7138,Asiste
1980,21.0,v,109,Nunca asistió
1980,21.0,v,14190,No asiste pero asistió
1980,21.0,v,-,Ignorado
1980,22.0,m,5834,Asiste
1980,22.0,m,151,Nunca asistió
1980,22.0,m,17292,No asiste pero asistió
1980,22.0,m,-,Ignorado
1980,22.0,v,6580,Asiste
1980,22.0,v,129,Nunca asistió
1980,22.0,v,14949,No asiste pero asistió
1980,22.0,v,-,Ignorado
1980,23.0,m,5003,Asiste
